,job,marital,education,default,housing,loan,campaign,previous,previous_outcome
2571,5,0,2.0,0,1,0,2.0,0.0,3
3509,5,2,1.0,0,1,0,2.0,0.0,3
14320,4,0,3.0,0,0,0,3.0,0.0,3
1797,0,1,2.0,0,1,0,2.0,0.0,3
21093,5,0,1.0,0,0,0,2.0,0.0,3
25544,6,0,2.0,0,1,0,1.0,1.0,0
43661,9,0,3.0,0,1,0,5.0,6.0,1
43044,10,1,2.0,0,0,0,1.0,2.0,1
5231,9,0,2.0,0,1,0,1.0,0.0,3
10195,5,0,2.0,0,1,0,4.0,0.0,3
33855,9,1,3.0,0,1,0,7.0,0.0,3
37828,1,2,2.0,0,1,0,1.0,1.0,0
27668,9,2,2.0,0,0,1,2.0,1.0,0
29740,4,0,3.0,0,0,1,1.0,6.0,2
29735,4,0,3.0,0,1,0,1.0,0.0,3
36226,7,1,2.0,0,1,0,1.0,1.0,0
15722,9,2,2.0,0,0,1,1.0,0.0,3
43137,0,0,2.0,0,0,0,2.0,5.0,0
28183,1,0,1.0,0,1,0,1.0,2.0,0
44938,3,1,3.0,0,0,0,1.0,3.0,0
37777,4,2,3.0,0,1,1,1.0,0.0,3
23790,9,2,2.0,0,0,0,2.0,0.0,3
16437,7,1,2.0,1,1,0,11.0,0.0,3
32244,0,0,2.0,0,1,0,1.0,0.0,3
38287,9,1,2.0,0,1,1,1.0,3.0,0
1762,1,1,2.0,0,0,0,1.0,0.0,3
7724,0,0,2.0,0,1,1,2.0,0.0,3
17306,9,0,2.0,0,1,1,2.0,0.0,3
42063,9,1,2.0,0,1,0,1.0,5.0,0
19262,4,2,3.0,0,0,0,2.0,0.0,3
43524,4,0,3.0,0,0,0,1.0,2.0,1
23340,4,2,3.0,0,1,0,7.0,0.0,3
18872,4,0,3.0,0,0,0,2.0,0.0,3
23943,4,2,3.0,0,0,1,6.0,0.0,3
37873,1,0,2.0,0,1,0,1.0,0.0,3
23901,4,1,3.0,0,0,0,2.0,0.0,3
26877,2,2,1.0,0,1,1,3.0,0.0,3
40279,0,0,2.0,0,0,0,1.0,1.0,0
33844,1,0,1.0,0,0,0,3.0,0.0,3
828,5,0,2.0,0,1,0,1.0,0.0,3
36612,1,1,2.0,0,1,0,1.0,0.0,3
33160,0,0,2.0,0,1,0,2.0,3.0,0
34343,1,1,2.0,0,1,0,5.0,3.0,0
36723,2,0,2.0,0,1,0,1.0,0.0,3
39844,1,0,2.0,0,1,0,1.0,0.0,3
38781,1,0,1.0,0,1,0,5.0,2.0,0
12915,10,0,3.0,0,0,0,6.0,0.0,3
20736,2,1,3.0,1,1,1,2.0,0.0,3
18993,9,0,3.0,0,0,0,2.0,0.0,3
14192,7,0,2.0,0,0,0,2.0,0.0,3
11393,5,0,2.0,0,1,0,1.0,0.0,3
20052,4,0,3.0,0,1,1,2.0,0.0,3
3080,7,0,2.0,0,1,0,1.0,0.0,3
18495,4,1,3.0,0,1,0,2.0,0.0,3
27852,9,0,2.0,0,0,0,1.0,0.0,3
28680,5,0,1.0,0,0,1,4.0,0.0,3
39691,4,1,3.0,0,0,0,1.0,0.0,3
23757,9,0,2.0,0,1,0,7.0,0.0,3
28795,1,0,2.0,0,1,0,2.0,0.0,3
15087,10,1,2.0,0,0,0,1.0,0.0,3
34175,1,1,2.0,0,1,1,1.0,1.0,2
1477,9,0,2.0,0,0,0,2.0,0.0,3
6131,1,0,1.0,0,1,0,1.0,0.0,3
43639,5,0,2.0,0,0,0,1.0,2.0,0
11029,5,0,1.0,0,1,1,2.0,0.0,3
31074,9,0,2.0,0,1,0,2.0,0.0,3
27260,9,1,3.0,0,1,0,4.0,0.0,3
14872,4,0,3.0,0,1,0,2.0,0.0,3
12359,0,2,2.0,0,0,1,2.0,0.0,3
25855,4,2,3.0,0,1,0,3.0,0.0,3
27616,3,2,1.0,0,1,1,7.0,0.0,3
2093,1,0,1.0,0,1,1,2.0,0.0,3
14177,4,0,3.0,0,1,0,2.0,0.0,3
2247,1,0,2.0,0,1,0,2.0,0.0,3
848,1,0,2.0,0,1,0,1.0,0.0,3
1810,1,0,1.0,0,0,0,2.0,0.0,3
7804,4,0,3.0,0,1,0,6.0,0.0,3
28583,0,0,2.0,0,1,0,2.0,0.0,3
10183,0,0,2.0,0,0,0,3.0,0.0,3
12723,7,2,3.0,0,0,0,9.0,0.0,3
43900,0,1,2.0,0,1,1,1.0,0.0,3
31848,9,0,2.0,0,1,0,2.0,4.0,0
298,1,2,1.0,0,1,0,3.0,0.0,3
37443,7,1,2.0,0,1,0,2.0,0.0,3
40105,4,0,3.0,0,0,0,1.0,0.0,3
8503,4,0,3.0,0,1,0,6.0,0.0,3
27786,4,0,3.0,0,1,0,1.0,1.0,2
20008,1,0,2.0,0,0,0,3.0,0.0,3
12708,4,0,1.0,0,1,0,2.0,0.0,3
15635,1,0,2.0,0,1,1,1.0,0.0,3
39279,7,0,2.0,0,1,0,5.0,3.0,2
39414,9,0,2.0,0,1,1,1.0,2.0,0
42559,1,1,2.0,0,0,0,1.0,1.0,2
36040,1,0,1.0,0,1,0,1.0,7.0,0
21018,9,1,3.0,0,0,0,4.0,0.0,3
30876,1,0,1.0,0,0,0,5.0,0.0,3
17384,4,1,3.0,0,1,0,4.0,0.0,3
10177,3,2,1.0,0,0,0,1.0,0.0,3
3675,9,0,2.0,0,1,0,1.0,0.0,3
27724,5,2,2.0,0,0,0,1.0,0.0,3
19574,7,0,2.0,0,0,0,4.0,0.0,3
18437,3,2,1.0,0,0,0,6.0,0.0,3
25757,1,2,2.0,0,1,1,2.0,0.0,3
6784,4,1,3.0,0,1,1,2.0,0.0,3
38442,0,2,2.0,0,1,0,2.0,2.0,0
9709,9,1,2.0,0,1,0,1.0,0.0,3
32339,1,0,1.0,0,0,0,1.0,0.0,3
12154,1,0,1.0,0,0,0,3.0,0.0,3
23970,9,0,2.0,0,0,1,16.0,0.0,3
43808,7,2,2.0,0,0,0,1.0,1.0,0
17719,1,0,2.0,0,1,0,5.0,0.0,3
43610,10,1,2.0,0,0,0,1.0,0.0,3
14377,4,0,3.0,0,1,0,3.0,0.0,3
38055,7,1,2.0,0,1,0,5.0,0.0,3
43431,5,2,1.0,0,0,0,1.0,0.0,3
285,0,1,2.0,0,1,0,2.0,0.0,3
1295,7,0,2.0,0,1,0,1.0,0.0,3
17753,10,0,3.0,0,1,1,1.0,0.0,3
2008,7,2,3.0,0,1,0,5.0,0.0,3
20337,3,0,2.0,0,0,0,3.0,0.0,3
17290,3,0,1.0,0,1,0,6.0,0.0,3
18142,7,2,2.0,0,0,0,1.0,0.0,3
7861,1,1,2.0,0,1,1,2.0,0.0,3
14990,10,0,2.0,0,1,0,7.0,0.0,3
5959,4,2,3.0,0,1,0,4.0,0.0,3
17444,4,0,3.0,0,1,0,3.0,0.0,3
10907,4,0,3.0,0,1,0,2.0,0.0,3
27051,0,0,2.0,0,1,0,6.0,0.0,3
33584,1,0,2.0,0,1,1,4.0,0.0,3
7597,7,0,3.0,0,1,0,1.0,0.0,3
39117,9,0,2.0,0,1,0,2.0,2.0,1
10997,9,0,2.0,0,1,0,4.0,0.0,3
35915,0,0,2.0,0,1,1,3.0,0.0,3
2116,1,2,1.0,0,1,1,1.0,0.0,3
32600,0,1,2.0,0,1,0,1.0,0.0,3
12882,9,1,2.0,0,1,1,3.0,0.0,3
42584,4,1,3.0,0,0,0,1.0,0.0,3
7442,1,0,2.0,0,1,0,3.0,0.0,3
5408,7,0,2.0,0,0,1,1.0,0.0,3
12754,1,0,1.0,0,0,0,1.0,0.0,3
35527,1,0,2.0,0,1,1,2.0,0.0,3
34464,1,1,2.0,0,1,1,1.0,4.0,0
43194,5,2,1.0,0,0,0,1.0,0.0,3
26197,4,0,3.0,0,0,0,1.0,0.0,3
35334,7,0,2.0,0,1,0,1.0,2.0,0
3415,0,0,2.0,0,1,0,2.0,0.0,3
9839,2,0,2.0,0,0,0,1.0,0.0,3
5967,0,0,2.0,0,0,0,3.0,0.0,3
43855,4,2,3.0,0,0,0,1.0,0.0,3
17711,9,0,3.0,0,1,0,4.0,0.0,3
4897,1,1,2.0,1,1,0,1.0,0.0,3
6909,1,0,1.0,0,1,0,2.0,0.0,3
32042,0,0,2.0,0,1,0,1.0,1.0,0
34119,1,0,2.0,0,0,0,2.0,0.0,3
12421,0,0,2.0,0,0,0,2.0,0.0,3
20181,3,0,1.0,0,0,0,2.0,0.0,3
28874,6,0,3.0,0,1,1,6.0,3.0,0
8351,4,1,3.0,0,0,0,5.0,0.0,3
5340,1,0,1.0,0,1,1,1.0,0.0,3
11772,7,0,2.0,0,1,0,3.0,0.0,3
41187,4,0,3.0,0,1,0,1.0,0.0,3
15664,5,2,3.0,0,0,0,1.0,0.0,3
26951,9,1,3.0,0,1,0,1.0,0.0,3
8139,4,1,3.0,0,1,0,1.0,0.0,3
10552,1,0,2.0,0,0,0,3.0,0.0,3
24359,5,0,2.0,0,0,1,1.0,1.0,0
32693,1,1,2.0,0,1,0,3.0,1.0,2
2311,6,0,3.0,0,1,1,3.0,0.0,3
44590,7,1,2.0,0,0,0,1.0,0.0,3
31562,1,1,2.0,1,0,0,1.0,1.0,0
3646,4,2,3.0,0,0,0,2.0,0.0,3
12439,5,0,2.0,0,0,1,2.0,0.0,3
19202,9,0,2.0,1,1,0,7.0,0.0,3
2751,9,0,2.0,0,1,0,4.0,0.0,3
2642,0,0,2.0,0,1,0,3.0,0.0,3
29818,9,0,1.0,0,0,0,1.0,9.0,0
38520,7,0,2.0,0,1,0,4.0,0.0,3
27319,2,2,3.0,0,0,0,5.0,0.0,3
4528,0,0,2.0,0,1,0,1.0,0.0,3
17999,4,0,3.0,0,0,0,2.0,0.0,3
34141,4,0,3.0,0,1,1,2.0,3.0,1
3570,7,0,2.0,0,1,0,1.0,0.0,3
10059,7,0,2.0,0,0,0,8.0,0.0,3
26111,6,1,3.0,0,0,0,4.0,0.0,3
32940,0,0,2.0,0,1,0,2.0,1.0,0
34707,9,0,1.0,0,1,1,1.0,0.0,3
540,1,0,2.0,0,1,0,1.0,0.0,3
24231,6,1,3.0,0,1,0,1.0,0.0,3
26820,10,0,2.0,0,0,1,2.0,0.0,3
35542,2,0,2.0,0,1,0,4.0,3.0,0
40438,0,2,2.0,0,1,0,2.0,5.0,1
2861,6,0,1.0,0,1,0,1.0,0.0,3
5815,4,0,3.0,0,1,0,2.0,0.0,3
18642,4,0,3.0,0,0,0,5.0,0.0,3
35078,4,0,3.0,0,1,0,3.0,0.0,3
35538,9,0,2.0,0,0,0,2.0,0.0,3
29410,0,2,2.0,0,0,0,6.0,0.0,3
28666,7,0,2.0,0,1,0,1.0,1.0,0
15723,7,1,2.0,0,0,0,2.0,0.0,3
35658,4,1,3.0,0,1,1,1.0,0.0,3
25611,4,0,2.0,0,1,0,2.0,0.0,3
43138,5,0,1.0,0,0,0,2.0,0.0,3
39828,9,0,3.0,0,0,0,2.0,0.0,3
43738,5,0,2.0,0,0,0,2.0,5.0,0
11154,11,0,2.0,0,0,0,1.0,0.0,3
23845,0,0,2.0,0,0,0,7.0,0.0,3
32744,1,0,2.0,0,1,0,1.0,0.0,3
35009,1,1,2.0,0,1,0,1.0,0.0,3
31908,0,0,2.0,0,0,0,1.0,0.0,3
24445,9,0,2.0,0,1,0,1.0,0.0,3
29489,9,2,2.0,0,0,0,1.0,0.0,3
40085,1,0,2.0,0,0,1,1.0,3.0,0
14218,1,2,2.0,0,1,1,2.0,0.0,3
27576,9,0,2.0,0,0,0,2.0,0.0,3
34961,4,1,2.0,0,1,0,1.0,0.0,3
4934,10,0,2.0,0,1,1,1.0,0.0,3
24974,9,0,3.0,0,0,1,1.0,0.0,3
18941,0,0,2.0,0,0,0,4.0,0.0,3
43699,4,0,3.0,0,1,0,1.0,10.0,1
34897,9,1,3.0,0,1,0,1.0,1.0,2
17889,4,0,3.0,0,1,0,3.0,0.0,3
1048,4,0,1.0,0,1,0,2.0,0.0,3
29376,10,0,1.0,0,1,0,5.0,2.0,0
17208,9,2,3.0,0,0,1,3.0,0.0,3
12085,11,0,2.0,0,0,0,8.0,0.0,3
19557,4,1,3.0,0,0,0,2.0,0.0,3
20910,4,2,3.0,0,0,0,4.0,0.0,3
9362,1,0,2.0,0,1,1,2.0,0.0,3
33023,1,0,1.0,0,1,0,3.0,2.0,2
38065,7,1,2.0,0,1,0,3.0,0.0,3
10489,7,0,2.0,0,0,0,3.0,0.0,3
6895,9,0,2.0,0,1,1,1.0,0.0,3
14352,5,2,1.0,0,0,1,3.0,0.0,3
13410,9,0,3.0,0,1,0,1.0,0.0,3
5415,9,0,3.0,0,0,0,1.0,0.0,3
43964,4,0,3.0,0,1,0,1.0,4.0,0
13606,1,0,1.0,0,0,1,1.0,0.0,3
27907,5,0,1.0,0,0,0,2.0,0.0,3
13989,1,0,1.0,0,0,0,9.0,0.0,3
38658,0,0,2.0,0,1,1,3.0,0.0,3
42727,5,0,2.0,0,0,0,4.0,3.0,1
31026,6,0,3.0,0,1,0,2.0,0.0,3
2557,0,1,2.0,0,1,0,2.0,0.0,3
41029,4,1,3.0,0,0,0,1.0,0.0,3
42032,1,0,2.0,0,0,0,1.0,0.0,3
22995,9,1,2.0,0,0,0,2.0,0.0,3
44799,1,0,1.0,0,1,0,1.0,0.0,3
25516,4,2,3.0,0,1,0,1.0,0.0,3
43489,4,2,3.0,0,0,0,1.0,0.0,3
10451,4,2,3.0,0,1,0,2.0,0.0,3
20666,9,1,2.0,0,0,0,3.0,0.0,3
2444,4,0,3.0,0,1,1,1.0,0.0,3
21225,9,1,2.0,0,0,0,4.0,0.0,3
28441,0,0,2.0,0,0,0,1.0,0.0,3
41803,5,0,1.0,0,0,0,2.0,0.0,3
13895,10,0,3.0,0,0,1,1.0,0.0,3
23991,9,0,2.0,1,0,0,4.0,0.0,3
26933,9,1,2.0,0,0,0,5.0,0.0,3
33178,9,1,2.0,0,1,0,3.0,0.0,3
18163,10,2,2.0,0,0,0,3.0,0.0,3
30201,4,2,3.0,0,1,0,1.0,1.0,0
43257,4,0,2.0,0,0,0,2.0,3.0,1
12551,4,1,3.0,0,0,1,1.0,0.0,3
35620,1,0,2.0,0,1,0,1.0,1.0,0
2961,1,0,2.0,0,1,0,1.0,0.0,3
14643,7,2,2.0,0,0,1,1.0,0.0,3
35309,1,0,1.0,0,1,0,4.0,0.0,3
21857,4,2,3.0,0,1,0,4.0,0.0,3
33887,9,0,3.0,0,0,0,1.0,0.0,3
44271,4,1,3.0,0,0,0,6.0,4.0,0
27273,4,2,3.0,0,1,0,1.0,2.0,0
44429,4,0,3.0,0,1,0,3.0,2.0,1
34803,4,0,3.0,0,1,0,1.0,1.0,0
17111,1,1,2.0,0,0,0,4.0,0.0,3
18505,4,0,3.0,0,1,0,3.0,0.0,3
26368,6,0,2.0,0,1,0,1.0,1.0,0
10477,1,0,1.0,0,1,0,2.0,0.0,3
15421,9,0,2.0,0,1,0,3.0,0.0,3
28604,1,0,2.0,0,1,0,2.0,0.0,3
38191,1,0,2.0,0,1,0,1.0,0.0,3
11420,1,0,2.0,0,1,0,1.0,0.0,3
2490,1,1,1.0,0,1,0,1.0,0.0,3
44574,4,1,3.0,0,0,0,2.0,3.0,2
25269,5,2,3.0,0,0,0,3.0,0.0,3
22810,1,0,1.0,0,0,1,10.0,0.0,3
907,1,0,1.0,0,1,0,1.0,0.0,3
15694,5,0,2.0,0,0,0,1.0,0.0,3
14855,0,0,1.0,0,0,1,1.0,0.0,3
23880,9,1,2.0,0,0,0,14.0,0.0,3
29616,0,0,2.0,0,1,0,3.0,2.0,2
41218,5,2,2.0,0,0,0,1.0,0.0,3
44941,4,1,3.0,0,0,0,2.0,0.0,3
36951,1,1,2.0,0,1,0,3.0,0.0,3
23494,9,0,2.0,0,0,0,4.0,0.0,3
23709,4,2,3.0,0,0,0,2.0,0.0,3
18286,5,2,2.0,0,0,1,4.0,0.0,3
42355,0,0,2.0,0,0,0,1.0,0.0,3
7714,9,1,2.0,0,1,0,1.0,0.0,3
40473,0,2,2.0,0,0,0,5.0,0.0,3
27357,9,0,2.0,0,1,0,2.0,0.0,3
25120,6,1,3.0,0,1,0,1.0,1.0,0
32458,1,0,1.0,0,1,0,1.0,0.0,3
7712,1,0,1.0,0,1,0,1.0,0.0,3
44534,5,0,2.0,0,0,0,1.0,2.0,1
1011,9,2,2.0,0,1,1,1.0,0.0,3
40559,8,1,2.0,0,0,0,2.0,0.0,3
30001,10,0,3.0,0,0,0,1.0,0.0,3
22491,9,0,2.0,0,1,0,4.0,0.0,3
41252,8,1,2.0,0,0,0,2.0,0.0,3
23227,9,0,2.0,0,0,0,4.0,0.0,3
35134,6,0,2.0,0,1,1,3.0,0.0,3
22333,9,1,2.0,0,0,0,2.0,0.0,3
20454,4,2,3.0,0,0,0,6.0,0.0,3
31031,4,0,2.0,0,0,0,1.0,0.0,3
10152,11,2,1.0,0,0,0,1.0,0.0,3
19036,9,0,2.0,0,1,0,1.0,0.0,3
31121,9,0,3.0,0,0,0,4.0,0.0,3
22262,9,0,3.0,0,0,0,5.0,0.0,3
17967,5,2,1.0,0,1,0,2.0,0.0,3
8535,7,1,2.0,0,1,0,2.0,0.0,3
44893,5,2,1.0,0,0,0,2.0,1.0,2
8519,9,2,3.0,0,1,0,1.0,0.0,3
36832,0,1,2.0,0,1,0,9.0,8.0,2
23967,4,0,3.0,0,0,0,13.0,0.0,3
24315,9,1,2.0,0,1,0,1.0,2.0,0
703,7,2,2.0,0,1,0,2.0,0.0,3
44701,5,2,1.0,0,0,0,5.0,3.0,2
12181,8,0,2.0,0,0,0,6.0,0.0,3
2962,1,0,2.0,0,1,0,8.0,0.0,3
3247,1,0,2.0,0,1,0,1.0,0.0,3
27283,2,2,3.0,0,1,1,1.0,0.0,3
17112,6,0,3.0,0,0,0,3.0,0.0,3
9479,1,1,2.0,0,1,0,3.0,0.0,3
40466,7,0,2.0,0,0,0,3.0,0.0,3
37109,9,0,3.0,0,1,0,2.0,0.0,3
24680,1,0,2.0,0,1,0,2.0,0.0,3
13647,1,0,2.0,0,1,0,2.0,0.0,3
4312,1,0,1.0,0,1,0,2.0,0.0,3
8439,4,1,3.0,0,0,0,1.0,0.0,3
28861,1,1,2.0,0,1,0,4.0,1.0,2
3770,0,1,2.0,0,1,1,1.0,0.0,3
40283,3,1,3.0,0,0,0,2.0,0.0,3
13359,0,2,2.0,0,0,0,5.0,0.0,3
39236,5,2,1.0,0,1,0,3.0,1.0,0
23013,4,2,3.0,0,0,0,2.0,0.0,3
14608,4,1,3.0,0,1,1,6.0,0.0,3
18956,4,0,3.0,0,0,0,1.0,0.0,3
23638,1,0,2.0,0,1,1,13.0,0.0,3
24797,4,0,3.0,0,1,0,1.0,0.0,3
31609,4,0,1.0,0,1,0,2.0,1.0,0
41973,4,2,3.0,0,0,0,2.0,3.0,0
10645,1,0,2.0,0,0,0,3.0,0.0,3
25830,0,0,2.0,0,1,1,1.0,0.0,3
9615,1,1,2.0,0,1,1,2.0,0.0,3
27986,9,1,3.0,0,0,0,1.0,0.0,3
6493,7,1,2.0,0,1,0,2.0,0.0,3
30135,0,0,2.0,0,0,0,2.0,0.0,3
3609,7,0,2.0,0,1,0,3.0,0.0,3
3320,0,2,2.0,0,1,0,2.0,0.0,3
16600,0,0,2.0,0,0,0,1.0,0.0,3
10268,1,2,2.0,0,0,0,6.0,0.0,3
18635,4,1,3.0,0,1,0,18.0,0.0,3
14378,9,0,2.0,0,0,0,3.0,0.0,3
8009,1,0,1.0,0,1,0,1.0,0.0,3
8042,1,0,2.0,0,1,0,1.0,0.0,3
44711,0,0,2.0,0,0,0,1.0,5.0,0
25587,9,0,2.0,0,0,0,1.0,1.0,0
